RecordNo,endtime,qweek,i1_health,i2_health,i7a_health,i5a_health,i6_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i7b_health,weight,gender,age,region,household_size,household_children,employment_status,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4
1852,29/04/2020 08:33,week 2,1,3,0, , , ,No,Somewhat difficult,Somewhat unwilling,Always,Frequently,Frequently,Always,Always,Not at all,Not at all,Not at all, ,Always,Sometimes,Always,Always,Always,Always,Frequently,Sometimes,Frequently,Frequently,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.96222327,Female,27,Selangor,3,1,Not working,7,Not at all,Not at all,Not at all,Several days
1853,29/04/2020 08:38,week 2,4,0,0, , , ,Not sure,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Always,Always,Not at all,Always, ,Always,Always,Not at all,Not at all,Not at all,Not at all,Rarely,Not at all,Rarely,Always,Frequently,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.853405385,Female,44,Johor,5,1,Not working,6,Not at all,Not at all,Not at all,Not at all
1854,29/04/2020 08:40,week 2,4,0,0, , , ,No,Neither easy nor difficult,Very willing,Always,Always,Sometimes,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Not at all,Always,Not at all,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","Yes, and they have not received their results from the test yet",No,No,No,No,No,Yes, ,1.044897557,Female,42,Melaka,5,3,Full time employment,5,Several days,Several days,Several days,Not at all
1855,29/04/2020 08:40,week 2,1,1,0, , , ,Yes,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Always,Always,Sometimes,Always,Always, ,Always,Not at all,Not at all,Not at all,Always,Sometimes,Always,Frequently,Sometimes,Sometimes,7,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.873613576,Male,41,Kedah,3,0,Full time employment,6,Nearly every day,Not at all,Several days,Several days
1856,29/04/2020 08:42,week 2,3,3,0, , , ,Yes,Very easy,Very willing,Always,Always,Rarely,Frequently,Always,Always,Always,Not at all, , ,Always,Not at all,Not at all,Not at all,Always,Rarely,Always,Sometimes,Sometimes,Rarely,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not",Not sure,No,No,No,No,No,Yes, ,0.951696831,Male,25,Selangor,4,0,Not working,5,Several days,Several days,Several days,Several days
1857,29/04/2020 08:44,week 2,7,6,3, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Not at all,Not at all,Not at all,Not at all, ,Not at all,Sometimes,Not at all,Not at all,Not at all,Always,Sometimes,Not at all,Not at all,Not at all,Not at all,15, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.070422817,Female,22,Perak,7,4,Full time student,7,Not at all,Not at all,Not at all,Not at all
1858,29/04/2020 08:46,week 2,5,5,1, , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Always,Frequently,Always,Frequently,Always,Always,Always,Always,Always,Sometimes,Always,Always,Frequently,Frequently,Frequently,Rarely,Frequently,Frequently,12,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.953440455,Female,43,Selangor,6,2,Part time employment,7,Several days,Several days,Several days,Several days
1859,29/04/2020 08:50,week 2,4,10,1, , , ,Yes,Somewhat easy,Somewhat willing,Sometimes,Frequently,Rarely,Frequently,Always,Frequently,Always,Frequently,Always, ,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Always,Frequently,Frequently,Frequently,7,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.91840093,Male,28,Johor,7,0,Part time employment,5,Several days,Not at all,Not at all,Not at all
1860,29/04/2020 08:50,week 2,2,2,1, , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Frequently,Always,Not at all,Not at all,Not at all,Not at all, ,Not at all,Not at all,Always,Always,Always,Always,Rarely,Sometimes,Sometimes,Always,Not at all,8, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.961060604,Female,31,Kedah,4,2,Not working,6,Several days,Several days,Several days,Several days
1861,29/04/2020 08:51,week 2,2,6,0, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,8,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.96222327,Female,30,Selangor,2,0,Full time employment,8,Several days,Several days,Not at all,Not at all
