RecordNo,endtime,qweek,gender,age,region,household_size,household_children,employment_status_1,employment_status_2,employment_status_3,employment_status_4,employment_status_5,employment_status_6,employment_status_7,i1_health,i2_health,i7a_health,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i5a_health,i6_health,i7b_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,weight
30,2020-04-09 11:23:02,week 1,Male,26,Trøndelag/Nord-Norge,2,0,No,No,No,No,Yes,No,No,4,1,1,"No, I have not","No, they have not",No,No,Yes,No,No,No,No,Sometimes,No,No,Yes,Very difficult,Very unwilling,Not at all,Always,Always,Always,Always,Not at all,Always,Always, , ,Frequently,Sometimes,Always,Always,Always,Frequently,Not at all,Always,Always,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.920070125858
31,2020-04-09 11:23:56,week 1,Female,37,Oslo/Akershus,3,1,No,No,No,No,Yes,No,No,2,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Very willing,Not at all,Always,Always,Always,Always,Frequently,Always,Frequently, ,Always,Always,Always,Always,Always,Always,Frequently,Frequently,Not at all,Frequently,Always,15, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.948698054748
32,2020-04-09 11:28:03,week 1,Male,55,Vestlandet,2,0,No,Yes,No,No,No,No,No,1,3,4,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Frequently,Always,Always,Sometimes,Always,Frequently,Sometimes, ,Always,Frequently,Always,Always,Frequently,Sometimes,Not at all,Always,Always,Always,100,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,__NA__,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,.941374316421
33,2020-04-09 11:28:13,week 1,Female,25,Sørlandet,3,2,No,No,No,No,No,Yes,No,3,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Sometimes,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Sometimes,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.972188911914
34,2020-04-09 11:28:38,week 1,Female,51,Rest Østland,1,0,No,No,No,No,No,Yes,No,1,2,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Very willing,Not at all,Always,Frequently,Always,Always,Frequently,Always,Always, , ,Always,Always,Always,Always,Always,Not at all,Not at all,Always,Sometimes,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,.972273040412
35,2020-04-09 11:32:01,week 1,Male,69,Trøndelag/Nord-Norge,2,0,Yes,No,No,No,No,No,No,1,0,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Somewhat willing,Not at all,Frequently,Frequently,Frequently,Always,Frequently,Always,Always,Sometimes, ,Not at all,Rarely,Frequently,Always,Frequently,Rarely,Always,Sometimes,Frequently,Frequently,4,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.927091900028
36,2020-04-09 11:33:04,week 1,Male,56,Oslo/Akershus,1,0,No,Yes,No,No,No,No,No,0,1,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Frequently,Frequently,Frequently,Not at all,Frequently,Not at all,Sometimes,Sometimes, ,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Not at all,Rarely,Frequently,Frequently,12,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Eletrobutikk,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,.947254880376
37,2020-04-09 11:33:08,week 1,Male,36,Trøndelag/Nord-Norge,4,2,Yes,No,No,No,No,No,No,3,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Frequently,Always,Always,Always,Always,Always,Not at all,Always,Always,Frequently,Always,Always,Always,Frequently,Not at all,Not at all,Sometimes,Frequently,12,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.940154986887
38,2020-04-09 11:38:40,week 1,Female,60,Vestlandet,1,0,No,No,No,No,No,Yes,No,0,3,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Sometimes,Always,Always,Frequently,Always,Always, , ,Always,Frequently,Frequently,Always,Always,Sometimes,Always,Frequently,Rarely,Frequently,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,.994239542654
39,2020-04-09 11:39:49,week 1,Male,66,Rest Østland,2,0,No,Yes,No,No,No,No,No,2,6,4,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Somewhat willing,Not at all,Always,Not at all,Always,Not at all,Not at all,Always,Always,Not at all, ,Rarely,Not at all,Not at all,Frequently,Sometimes,Not at all,Not at all,Not at all,Sometimes,Rarely,10,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,.983900012451
40,2020-04-09 11:41:46,week 1,Female,74,Rest Østland,1,0,No,No,No,Yes,No,No,No,0,1,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Frequently,Rarely,Always,Always,Sometimes,Always,Always, , ,Always,Always,Always,Always,Always,Rarely,Always,Always,Sometimes,Always,10, , , , , , , , , , , , , ,__NA__,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1.03565157983
41,2020-04-09 11:07:03,week 1,Male,76,Oslo/Akershus,2,0,No,No,No,Yes,No,No,No,1,4,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Frequently,Frequently,Always,Frequently,Always,Frequently, , ,Rarely,Always,Always,Always,Always,Frequently,Not at all,Frequently,Sometimes,Frequently,4, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,.985315026188
42,2020-04-09 11:16:53,week 1,Male,58,Vestlandet,3,2,Yes,No,No,No,No,No,No,2,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,20,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.941374316421
43,2020-04-09 11:49:04,week 1,Female,30,Oslo/Akershus,4,2,Yes,No,No,No,No,No,No,3,0,0,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,Always,No,No,Yes,Somewhat easy,Very willing,Not at all,Always,Always,Frequently,Always,Always,Always,Always,Sometimes,Always,Always,Always,Always,Always,Always,Always,Rarely,Sometimes,Always,Always,6,No,No,No,No,No,No,Yes,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.941852506875
44,2020-04-09 11:49:45,week 1,Male,44,Trøndelag/Nord-Norge,5,3,Yes,No,No,No,No,No,No,5,20,4,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Sometimes,Always,Always,Frequently,Always,Sometimes,Frequently,Frequently,Always,Frequently,Rarely,Not at all,Always,Frequently,Frequently,15,No,No,No,No,No,No,No,No,No,No,Yes,No,No,varehandel,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,.900607369945
45,2020-04-09 11:50:16,week 1,Male,70,Sørlandet,1,0,No,No,No,Yes,No,No,No,0,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Neither easy nor difficult,Neither willing nor unwilling,Rarely,Always,Frequently,Rarely,Rarely,Frequently,Always,Always, , ,Rarely,Frequently,Always,Always,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Rarely,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,.976120096696
