RecordNo,endtime,qweek,i1_health,i2_health,i7a_health,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i5a_health,i6_health,i7b_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,weight,gender,age,region,household_size,household_children,employment_status,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4,m1_1,m1_2,m1_3,m1_4,m2,m3,m4_1,m4_2,m4_3,m4_4,m4_96,m4_99,m4_other,m5_1,m5_2,m6_1,m6_2,m6_3,m6_4,m6_5,m6_6,m6_7,m6_8,m6_96,m6_other,m7_1,m7_2,m7_3,m7_4,m7_5,m7_6,m7_8,m7_9,m7_10,m7_11,m8_1,m8_2,m8_3,m8_4,m8_5,m8_6,m8_7,m8_8,m8_96,m8_99,m8_other,m9_1,m9_2,m9_3,m9_4,m9_5,m9_6,m9_7,m10,m11,m12_1,m12_2,m12_3,m12_4,m12_5,m12_6,m12_7,m12_8,m12_96,m12_99,m12_other,m13_1,m13_2,m13_3,m13_4,m13_5,m13_6,m13_8,m13_9,m13_10,m13_11,v1,v2_1,v2_2,v2_3,v2_4,v2_5,v2_99,v3,v3_open,v4_1,v4_2,v4_3,v4_4,v4_5,v4_96,v4_99,v3_other
4725,28/05/2020 07:05,week 5,2,5,1,"No, I have not","No, they have not",Yes,Yes,Yes,Yes,Yes,No,Yes,Frequently,Yes,Yes,Yes,Somewhat easy,Somewhat willing,Always,Always,Sometimes,Sometimes,Rarely,Not at all,Rarely,Not at all,Frequently,Sometimes,Frequently,Frequently,Sometimes,Rarely,Rarely,Not at all,Always,Always,Frequently,Not at all,1,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,0.946523155,Male,53,North East - Seletar,3,1,Full time employment,5,Nearly every day,More than half the days,Nearly every day,More than half the days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4726,28/05/2020 07:06,week 5,1,0,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Rarely,Not at all,Always, ,Not at all,Always,Always,Always,Sometimes,Sometimes,Not at all,Sometimes,Frequently,Frequently,2,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,0.946523155,Male,50,"North East - Hougang, Punggol",2,0,Full time employment,7,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4727,28/05/2020 07:07,week 5,5,3,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Frequently,Frequently,Always,Not at all, ,Frequently,Always,Always,Always,Always,Always,Sometimes,Not at all,Rarely,Sometimes,Sometimes,8, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,0.946523155,Male,54,"Far East - Tampines, Pasir Ris",5,1,Unemployed,4,Several days,Not at all,Not at all,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4728,28/05/2020 07:07,week 5,3,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Neither willing nor unwilling,Always,Frequently,Not at all,Always,Always,Always,Always,Frequently, , ,Always,Always,Always,Always,Always,Frequently,Not at all,Sometimes,Rarely,Always,5, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,1.0185843,Female,73,"Far West - Jurong, Boon Lay",4,0,Not working,4,More than half the days,More than half the days,More than half the days,Nearly every day, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4729,28/05/2020 07:08,week 5,2,2,3,"No, I have not",Not sure,No,No,No,No,No,Yes, , , , ,No,Not sure,Not sure,Always,Always,Sometimes,Always,Always,Sometimes,Always,Always,Rarely, ,Always,Sometimes,Rarely,Not at all,Always,Sometimes,Always,Frequently,Frequently,Always,4,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.041059027,Male,24,"Central North - AMK, Thomson",5,Don't know,Full time employment,6,More than half the days,Several days,More than half the days,More than half the days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4730,28/05/2020 07:09,week 5,3,6,3,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Neither willing nor unwilling,Always,Always,Always,Always,Always,Frequently,Always,Always,Always, ,Always,Frequently,Always,Always,Frequently,Frequently,Frequently,Always,Frequently,Always,10,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.946722321,Male,66,"Central East - Eunos, Geylang",4,0,Full time employment,6,Several days,Nearly every day,Not at all,Nearly every day, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4731,28/05/2020 07:15,week 5,3,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Neither willing nor unwilling,Always,Sometimes,Sometimes,Frequently,Sometimes,Always,Frequently,Sometimes, ,Sometimes,Sometimes,Frequently,Frequently,Frequently,Sometimes,Frequently,Sometimes,Sometimes,Rarely,Frequently,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.041059027,Male,18,"Central North - AMK, Thomson",4,1,Full time student,5,Not at all,Not at all,Not at all,Not at all, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4732,28/05/2020 07:16,week 5,0,0,1,"No, I have not",Not sure,No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Neither willing nor unwilling,Always,Always,Sometimes,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.041059027,Male,21,"North East - Hougang, Punggol",3,0,Other,7,Several days,Prefer not to say,Not at all,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4733,28/05/2020 07:21,week 5,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Always,Frequently,Frequently,Always,Frequently,Sometimes,Frequently,Frequently,Sometimes, ,Always,Frequently,Always,Always,Always,Sometimes,Not at all,Always,Frequently,Always,5,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.946523155,Male,53,"Far West - Jurong, Boon Lay",2,0,Full time employment,8,Not at all,Not at all,Not at all,Not at all, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4734,28/05/2020 07:24,week 5,0,2,1,"No, I have not", ,No,No,No,No,No,Yes, , , , ,Not sure,Very easy,Somewhat willing,Always,Frequently,Frequently,Always,Always,Always,Always,Not at all, , ,Always,Always,Always,Always,Always,Frequently,Always,Always,Frequently,Always,20, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,1.0185843,Female,60,"Central - Toa Payoh, Balestier",Prefer not to say,0,Unemployed,6,More than half the days,Several days,Not at all,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4735,28/05/2020 07:26,week 5,2,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Somewhat unwilling,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.0185843,Female,56,City - CBD,3,0,Retired,6,Several days,Several days,Several days,Prefer not to say, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4736,28/05/2020 07:27,week 5,0,0,1,"No, I have not", ,No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Somewhat unwilling,Frequently,Frequently,Sometimes,Always,Always,Rarely,Not at all,Rarely, , ,Not at all,Rarely,Always,Always,Sometimes,Rarely,Not at all,Frequently,Not at all,Rarely,1, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.976305533,Female,53,"Far East - Tampines, Pasir Ris",1,0,Unemployed,5,Nearly every day,Several days,Several days,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4737,28/05/2020 07:34,week 5,2,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Somewhat easy,Somewhat willing,Always,Rarely,Rarely,Always,Not at all,Sometimes,Not at all,Sometimes, , ,Not at all,Rarely,Not at all,Not at all,Not at all,Sometimes,Always,Always,Sometimes,Sometimes,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,0.946523155,Male,53,"Central - Toa Payoh, Balestier",2,0,Not working,2,Several days,Several days,Several days,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4738,28/05/2020 07:34,week 5,0,0,2,"No, I have not","Yes, and they tested negative",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Very willing,Always,Frequently,Sometimes,Always,Always,Rarely,Always,Sometimes,Not at all,Not at all,Always,Always,Not at all,Always,Always,Sometimes,Not at all,Not at all,Sometimes,Sometimes,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.976305533,Female,54,"North West - Bukit Batok, Choa Chu Kang",8 or more,4,Part time employment,7,Not at all,More than half the days,Prefer not to say,More than half the days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4739,28/05/2020 07:34,week 5,3,1,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Somewhat unwilling,Always,Frequently,Rarely,Always,Not at all,Sometimes,Always,Sometimes, ,Not at all,Always,Always,Always,Always,Sometimes,Rarely,Not at all,Not at all,Sometimes,Sometimes,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.041059027,Male,21,"Central South - Tiong Bahru, Queenstown",4,1,Not working,6,More than half the days,Several days,More than half the days,More than half the days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4740,28/05/2020 07:35,week 5,0,2,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Somewhat easy,Very willing,Always,Frequently,Not at all,Frequently,Frequently,Always,Frequently,Rarely, , ,Always,Always,Always,Always,Frequently,Frequently,Frequently,Not at all,Not at all,Rarely,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.041059027,Male,22,"Central South - Tiong Bahru, Queenstown",5,0,Other,6,Several days,Several days,Several days,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4741,28/05/2020 07:36,week 5,3,0,0,"No, I have not","Yes, and they tested negative",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Very willing,Always,Frequently,Sometimes,Always,Always,Always,Always,Sometimes, , ,Always,Always,Always,Always,Always,Frequently,Rarely,Rarely,Sometimes,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.041059027,Male,24,"North East - Hougang, Punggol",4,0,Full time student,5,Several days,Not at all,Not at all,Not at all, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4742,28/05/2020 07:42,week 5,3,7,0,"No, I have not","No, they have not",No,Yes,No,No,Yes,No,No,Not at all,Yes,Yes,Yes,Somewhat easy,Neither willing nor unwilling,Frequently,Sometimes,Sometimes,Frequently,Always,Frequently,Not at all,Frequently,Not at all, ,Always,Not at all,Not at all,Not at all,Rarely,Rarely,Not at all,Not at all,Rarely,Rarely,1,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Adminsitrative job,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,1.041059027,Male,22,"Central - Newton, Bukit Timah",5,0,Full time employment,2,Not at all,Several days,Not at all,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4743,28/05/2020 07:44,week 5,2,0,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Very willing,Always,Always,Frequently,Always,Frequently,Frequently,Always,Always,Frequently,Not at all,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Rarely,Always,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.976305533,Female,50,"Central - Toa Payoh, Balestier",4,1,Part time employment,7,Several days,Not at all,Not at all,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4744,28/05/2020 07:45,week 5,4,2,4,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Always,Always,Frequently,Always,Always,Sometimes,Always,Always,Frequently,Not at all,Always,Sometimes,Frequently,Always,Always,Frequently,Not at all,Not at all,Rarely,Frequently,20,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,0.946523155,Male,49,"Central South - Tiong Bahru, Queenstown",5,1,Full time employment,5,Several days,Not at all,Several days,Not at all, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4745,28/05/2020 07:47,week 5,3,3,1,"No, I have not","Yes, and they have not received their results from the test yet",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Not at all,Not at all,Not at all,Not at all,Always,Not at all,Always,Always,Always,Always,Not at all,Not at all,Sometimes,Not at all,Frequently,Always,20,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.946523155,Male,45,"Central North - AMK, Thomson",4,1,Full time employment,5,Several days,Not at all,Not at all,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4746,28/05/2020 07:48,week 5,1,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Neither easy nor difficult,Somewhat willing,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Not at all,Sometimes, ,Always,Always,Always,Always,Sometimes,Frequently,Always,Frequently,Sometimes,Sometimes,8,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.976305533,Female,54,"Central West - Clementi, Upper Bukit Timah",2,0,Full time employment,4,Several days,Several days,More than half the days,More than half the days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4747,28/05/2020 07:49,week 5,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Always,Always,Frequently,Always,Always,Frequently,Always,Always, , ,Always,Frequently,Always,Always,Frequently,Frequently,Not at all,Not at all,Always,Always,15, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.976305533,Female,45,"South West - Buona Vista, West Coast",2,0,Not working,6,Not at all,Not at all,Several days,Not at all, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4748,28/05/2020 07:50,week 5,3,0,0,"Yes, and I tested negative","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Neither willing nor unwilling,Always,Always,Sometimes,Always,Always,Sometimes,Not at all,Rarely, , ,Always,Sometimes,Always,Always,Sometimes,Sometimes,Not at all,Frequently,Sometimes,Sometimes,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,1.0185843,Female,58,"North East - Hougang, Punggol",4,0,Not working,7,Several days,Several days,Several days,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4749,28/05/2020 07:51,week 5,3,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Frequently,Sometimes,Not at all, ,Not at all,Always,Always,Always,Always,Always,Not at all,Not at all,Not at all,Rarely,Frequently,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.976305533,Female,45,"Far East - Tampines, Pasir Ris",4,2,Unemployed,8,Several days,Several days,Several days,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4750,28/05/2020 07:58,week 5,4,5,1,"No, I have not","Yes, and they tested negative",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Neither willing nor unwilling,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Always,Always,Frequently, ,Always,Always,Always,Always,Always,Frequently,Frequently,Frequently,Frequently,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,0.976305533,Female,52,"North West - Bukit Batok, Choa Chu Kang",5,0,Full time employment,8,Several days,Several days,Several days,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4751,28/05/2020 07:58,week 5,0,2,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Frequently,Frequently,Sometimes,Frequently,Frequently,Rarely,Sometimes,Rarely,Sometimes, ,Rarely,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Sometimes,Frequently,2,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.946523155,Male,50,"Central North - AMK, Thomson",1,0,Full time employment,6,Several days,Several days,Several days,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4752,28/05/2020 08:00,week 5,3,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Always,Always,Sometimes,Always,Always,Frequently,Always,Frequently, ,Always,Always,Always,Always,Always,Always,Frequently,Not at all,Sometimes,Frequently,Frequently,15, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,0.976305533,Female,50,"Central North - AMK, Thomson",4,2,Not working,6,Not at all,Not at all,Not at all,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4753,28/05/2020 08:01,week 5,1,20,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Not at all,Sometimes,Rarely,Rarely,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,0.946722321,Male,62,"North East - Hougang, Punggol",1,0,Retired,7,Not at all,Not at all,Not at all,Not at all, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4754,28/05/2020 08:02,week 5,1,4,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat difficult,Neither willing nor unwilling,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,Not at all,Sometimes,Sometimes,Not at all,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,Sometimes,Not at all,Sometimes,Sometimes,5,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.946722321,Male,59,"Central South - Tiong Bahru, Queenstown",2,2,Full time employment,8,More than half the days,More than half the days,More than half the days,More than half the days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4755,28/05/2020 08:03,week 5,2,5,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Frequently,Always, ,Always,Always,Always,Always,Always,Frequently,Always,Sometimes,Sometimes,Frequently,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.976305533,Female,46,"Far North - Woodlands, Admiralty",3,0,Part time employment,6,Several days,Several days,Not at all,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4756,28/05/2020 08:04,week 5,6,5,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Neither willing nor unwilling,Always,Always,Not at all,Always,Always,Always,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Always,Sometimes,Not at all,Sometimes,Not at all,Not at all,5,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__, , , , , , , , , , , , , , , ,0.976305533,Female,53,"North East - Hougang, Punggol",8 or more,2,Full time employment,8,Several days,Not at all,Not at all,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4757,28/05/2020 08:07,week 5,1,10,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Sometimes,Rarely,Always,Always,Always,Not at all,Sometimes, ,Always,Always,Always,Always,Always,Not at all,Always,Always,Always,Always,3,No,No,No,No,No,No,No,No,No,No,Yes,No,No,services,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.946523155,Male,49,"South West - Buona Vista, West Coast",2,0,Full time employment,7,Not at all,Not at all,Not at all,Not at all, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4758,28/05/2020 08:10,week 5,3,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Somewhat willing,Always,Frequently,Frequently,Always,Always,Always,Always,Always,Frequently, ,Always,Frequently,Always,Always,Frequently,Frequently,Frequently,Always,Frequently,Frequently,7,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.976305533,Female,49,"North East - Hougang, Punggol",4,0,Full time employment,6,Several days,Several days,Several days,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
