RecordNo,endtime,qweek,gender,region,region_recode,i1_health,i2_health,i7a_health,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i5_health_98,i5a_health,i6_health,i7b_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,profile_household_size,weight,age,household_size,household_children,employment_status
675,2020-04-05 09:34:56,week 1,Female,Seoul special city,Gyeonggi,0,0,0,"No, I have not","No, they have not",Yes,Yes,Yes,Yes,Yes,No,No,No,Sometimes,No,No,Yes,Not sure,Very unwilling,Frequently,Frequently,Sometimes,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,10,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,__NA__,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,4,1.11440727043,44,4,2,Full time employment
676,2020-04-05 09:43:17,week 1,Male,Gangwon Province,Gangwon,1,8,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat easy,Somewhat willing,Always,Frequently,Frequently,Frequently,Always,Sometimes,Always,Always,Rarely, ,Always,Frequently,Frequently,Always,Frequently,Sometimes,Not at all,Not at all,Sometimes,Sometimes,5,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,.685329004937,29,2,0,Full time employment
677,2020-04-05 09:43:42,week 1,Male,South Gyeongsang Province,Gyeongsang,3,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Somewhat willing,Always,Always,Sometimes,Always,Always,Frequently,Frequently,Always, , ,Always,Rarely,Rarely,Rarely,Rarely,Rarely,Always,Frequently,Always,Rarely,7, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,.698562923962,20,2,0,Full time student
678,2020-04-05 09:49:34,week 1,Male,Gwangju metropolitan city,Jeolla,3,12,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Very easy,Very willing,Always,Always,Frequently,Always,Always,Always,Frequently,Always, ,Rarely,Always,Always,Always,Always,Frequently,Sometimes,Sometimes,Rarely,Rarely,Frequently,6, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,4,.695213069564,19,4,1,Full time student
679,2020-04-05 09:56:01,week 1,Male,Gangwon Province,Gangwon,2,5,1,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,No,Frequently,No,No,Yes,Very easy,Very willing,Always,Frequently,Frequently,Sometimes,Always,Frequently,Always,Always,Rarely, ,Always,Frequently,Always,Always,Sometimes,Rarely,Always,Always,Sometimes,Sometimes,3,No,Yes,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,.685329004937,25,3,0,Full time employment
680,2020-04-05 10:02:57,week 1,Male,South Jeolla Province,Jeolla,1,5,6,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Somewhat willing,Sometimes,Frequently,Frequently,Always,Always,Sometimes,Rarely,Rarely, , ,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Not at all,Frequently,Frequently,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,4,1.07507235677,63,4,0,Retired
681,2020-04-05 10:05:07,week 1,Female,North Gyeongsang Province,Gyeongsang,3,5,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Frequently,Always,Frequently,Frequently,Frequently,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Sometimes,Always,5,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.955013100049,45,4,1,Full time employment
682,2020-04-05 10:23:22,week 1,Male,Seoul special city,Gyeonggi,3,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Frequently, , ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.835484834705,25,4,0,Full time student
683,2020-04-05 10:29:32,week 1,Female,Gangwon Province,Gangwon,3,6,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Frequently,Frequently,Always,Not at all, ,Always,Frequently,Sometimes,Always,Frequently,Sometimes,Rarely,Not at all,Sometimes,Frequently,5,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.914122667477,43,4,0,Full time employment
684,2020-04-05 10:46:48,week 1,Male,Ulsan metropolitan city,Gyeongsang,2,20,2,"Yes, and I tested negative","Yes, and they tested negative",Yes,No,No,No,No,No,No,Not sure,Always,No,No,Yes,Very difficult,Somewhat willing,Always,Always,Sometimes,Always,Always,Frequently,Frequently,Always,Sometimes,Frequently,Always,Frequently,Rarely,Always,Always,Rarely,Not at all,Not at all,Always,Frequently,5,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,3,.700990401419,34,3,1,Full time employment
685,2020-04-05 10:54:45,week 1,Male,South Gyeongsang Province,Gyeongsang,0,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Not sure,Not sure,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Not at all,Not at all,Always,Always,Always,Always,Always,Always,3,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,1.08025254687,55,4,0,Part time employment
686,2020-04-05 11:18:15,week 1,Male,North Jeolla Province,Jeolla,4,10,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat easy,Very willing,Always,Always,Frequently,Always,Frequently,Frequently,Sometimes,Always,Rarely, ,Always,Frequently,Sometimes,Always,Always,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,6,No,No,No,No,No,No,No,No,No,No,Yes,No,No,소방,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.697628906414,30,4,0,Full time employment
687,2020-04-05 11:31:14,week 1,Female,Gwangju metropolitan city,Jeolla,2,6,5,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Somewhat difficult,Somewhat willing,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,Always,Always,Always,Always,Always,Always,Frequently,Rarely,Always,Always,Always,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.930528829579,40,4,2,Full time employment
688,2020-04-05 11:36:58,week 1,Male,Ulsan metropolitan city,Gyeongsang,0,30,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Frequently,Always,Always,Rarely,Always,Not at all,Not at all,Not at all,Always,Always,Always,Always,Always,Rarely,Always,Not at all,Frequently,Not at all,10,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,3,1.08025254687,61,3,3,Full time employment
689,2020-04-05 11:51:05,week 1,Male,Daegu metropolitan city,Gyeongsang,2,45,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Not sure,Somewhat difficult,Neither willing nor unwilling,Always,Always,Sometimes,Frequently,Frequently,Always,Frequently,Frequently, , ,Always,Always,Always,Always,Frequently,Always,Sometimes,Frequently,Sometimes,Always,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.698562923962,22,4,0,Full time student
690,2020-04-05 11:51:12,week 1,Male,Incheon metropolitan city,Gyeonggi,3,3,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Somewhat difficult,Very willing,Always,Not at all,Always,Frequently,Frequently,Always,Frequently,Always,Frequently, ,Always,Always,Not at all,Not at all,Always,Frequently,Always,Not at all,Frequently,Rarely,3,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,3,1.28751352192,56,3,0,Full time employment
691,2020-04-05 11:58:31,week 1,Female,Gwangju metropolitan city,Jeolla,6,4,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Sometimes,Always,Always,10,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,3,.930528829579,44,3,0,Full time employment
692,2020-04-05 12:07:49,week 1,Male,North Jeolla Province,Jeolla,3,6,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Very willing,Always,Always,Always,Always,Frequently,Always,Always,Frequently,Frequently, ,Frequently,Always,Sometimes,Always,Always,Frequently,Frequently,Rarely,Always,Always,3,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,.695213069564,23,2,0,Part time employment
693,2020-04-05 12:28:12,week 1,Female,South Gyeongsang Province,Gyeongsang,2,30,2,"No, I have not","Yes, and they have not received their results from the test yet",Yes,No,No,No,No,No,No,No,Frequently,No,No,No,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Always,Always,Frequently,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Sometimes,Always,Always,Frequently,5,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3,.935012542889,43,3,1,Full time employment
694,2020-04-05 12:29:08,week 1,Female,North Gyeongsang Province,Gyeongsang,2,6,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Always,Always, ,Always,Always,Always,Always,Always,Frequently,Sometimes,Sometimes,Frequently,Always,6,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,.935012542889,35,2,0,Part time employment
695,2020-04-05 12:34:50,week 1,Male,North Chungcheong Province,Chungcheong,3,4,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Very difficult,Somewhat willing,Sometimes,Frequently,Sometimes,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Frequently,Frequently,Rarely,Frequently,Frequently,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,3,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.709768598972,47,4,2,Full time employment
696,2020-04-05 12:50:25,week 1,Female,Daegu metropolitan city,Gyeongsang,2,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Not at all,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,4,.955013100049,48,4,2,Full time employment
697,2020-04-05 12:57:45,week 1,Male,Busan metropolitan city,Gyeongsang,1,1,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Neither willing nor unwilling,Frequently,Always,Sometimes,Rarely,Sometimes,Frequently,Frequently,Frequently,Frequently, ,Frequently,Sometimes,Frequently,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,.700990401419,29,1,0,Full time employment
698,2020-04-05 13:05:57,week 1,Male,Seoul special city,Gyeonggi,1,2,2,"Yes, and I tested negative","Yes, and they tested negative",No,No,No,No,No,Yes,No, , , , ,No,Very easy,Very willing,Always,Always,Frequently,Always,Always,Always,Frequently,Always,Frequently, ,Always,Always,Frequently,Sometimes,Always,Frequently,Frequently,Always,Always,Frequently,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,.837582179841,41,2,0,Part time employment
699,2020-04-05 13:07:05,week 1,Male,Gwangju metropolitan city,Jeolla,0,0,7,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Very easy,Very willing,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all, , ,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.695213069564,24,4,Prefer not to say,Full time student
700,2020-04-05 13:36:59,week 1,Male,Busan metropolitan city,Gyeongsang,2,3,4,"Yes, and I tested positive","Yes, and they tested positive",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat easy,Very willing,Always,Always,Frequently,Frequently,Always,Always,Always,Frequently,Always,Always,Always,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Always,12,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,__NA__,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,4,.700990401419,31,4,4,Full time employment
701,2020-04-05 13:52:59,week 1,Female,North Gyeongsang Province,Gyeongsang,3,4,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Very willing,Always,Always,Frequently,Always,Always,Always,Frequently,Always,Always, ,Always,Frequently,Always,Always,Always,Frequently,Always,Rarely,Always,Always,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4,1.43728140487,60,4,0,Part time employment
702,2020-04-05 13:53:52,week 1,Male,Incheon metropolitan city,Gyeonggi,0,0,1,"Yes, and I tested negative","Yes, and they tested negative",No,No,No,No,No,Yes,No, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,107, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Don't know,.835484834705,28,Don't know,0,Unemployed
703,2020-04-05 13:58:47,week 1,Male,North Gyeongsang Province,Gyeongsang,2,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Somewhat willing,Always,Always,Frequently,Frequently,Frequently,Sometimes,Frequently,Always, , ,Always,Frequently,Frequently,Always,Frequently,Frequently,Not at all,Not at all,Sometimes,Sometimes,8, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,3,1.08025254687,59,3,0,Retired
704,2020-04-05 14:06:40,week 1,Male,South Gyeongsang Province,Gyeongsang,0,10,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat easy,Very willing,Always,Frequently,Frequently,Frequently,Always,Always,Always,Sometimes,Always, ,Always,Rarely,Rarely,Not at all,Sometimes,Always,Always,Frequently,Frequently,Frequently,3,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,.700990401419,31,2,0,Full time employment
705,2020-04-05 15:07:51,week 1,Male,North Gyeongsang Province,Gyeongsang,3,4,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Very easy,Very unwilling,Rarely,Always,Sometimes,Always,Always,Always,Sometimes,Frequently, , ,Rarely,Rarely,Frequently,Always,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,4, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.698562923962,21,4,0,Other
706,2020-04-05 15:10:17,week 1,Male,Busan metropolitan city,Gyeongsang,3,8,2,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,Yes,Rarely,Yes,No,Yes,Neither easy nor difficult,Neither willing nor unwilling,Always,Always,Sometimes,Frequently,Frequently,Frequently,Frequently,Sometimes,Always, ,Sometimes,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Sometimes,5,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,4,.698562923962,24,4,0,Full time employment
707,2020-04-05 19:24:35,week 1,Female,Gwangju metropolitan city,Jeolla,0,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Very willing,Always,Always,Sometimes,Always,Always,Frequently,Always,Always, , ,Not at all,Always,Always,Always,Always,Always,Frequently,Always,Frequently,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,1.43038913608,62,3,0,Not working
708,2020-04-05 20:43:41,week 1,Male,North Gyeongsang Province,Gyeongsang,3,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Very easy,Very willing,Always,Always,Sometimes,Always,Always,Always,Always,Frequently, , ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,1.08025254687,71,4,0,Retired
709,2020-04-05 23:22:01,week 1,Female,Gwangju metropolitan city,Jeolla,3,5,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Very willing,Always,Always,Always,Always,Always,Always,Not at all,Always,Not at all,Always,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Rarely,Always,4,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.950433477048,50,4,1,Full time employment
710,2020-04-05 23:37:55,week 1,Male,North Jeolla Province,Jeolla,3,3,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,5,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,5,.714340407339,48,5,1,Full time employment
711,2020-04-05 23:56:16,week 1,Male,South Jeolla Province,Jeolla,2,2,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat easy,Very willing,Always,Frequently,Always,Always,Rarely,Not at all,Not at all,Sometimes,Rarely, ,Not at all,Not at all,Not at all,Not at all,Always,Sometimes,Frequently,Frequently,Always,Frequently,30,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,1.07507235677,58,3,0,Full time employment
712,2020-04-06 00:14:48,week 1,Female,Gwangju metropolitan city,Jeolla,2,10,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Frequently, ,Frequently,Frequently,Always,Always,Always,Frequently,Always,Always,Rarely,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,.950433477048,51,3,0,Part time employment
713,2020-04-06 00:19:59,week 1,Male,Ulsan metropolitan city,Gyeongsang,2,6,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Somewhat willing,Always,Frequently,Always,Sometimes,Always,Sometimes,Always,Frequently,Sometimes, ,Always,Frequently,Frequently,Always,Frequently,Frequently,Sometimes,Rarely,Sometimes,Frequently,2,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,1.08025254687,58,4,0,Full time employment
714,2020-04-06 00:43:08,week 1,Male,North Jeolla Province,Jeolla,2,3,4,"No, I have not",Not sure,No,No,No,No,No,Yes,No, , , , ,Not sure,Not sure,Not sure,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Frequently,Always,Frequently,Frequently,Always,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,1.07507235677,56,3,3,Full time employment
715,2020-04-06 00:51:19,week 1,Female,Gwangju metropolitan city,Jeolla,2,5,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Very willing,Sometimes,Sometimes,Sometimes,Always,Always,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Always,Frequently,Sometimes,Sometimes,Frequently,Always,7,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.950433477048,52,4,4,Full time employment
716,2020-04-06 01:40:15,week 1,Male,Gwangju metropolitan city,Jeolla,0,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Somewhat difficult,Very willing,Always,Frequently,Sometimes,Frequently,Always,Frequently,Frequently,Frequently,Sometimes, ,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,2,1.07507235677,61,2,0,Full time employment
717,2020-04-06 01:58:48,week 1,Male,Daegu metropolitan city,Gyeongsang,3,3,0,"No, I have not",Not sure,No,No,No,No,No,Yes,No, , , , ,Not sure,Not sure,Not sure,Always,Always,Always,Always,Always,Frequently,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,1, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,1.08025254687,68,3,0,Not working
718,2020-04-06 02:03:13,week 1,Male,Seoul special city,Gyeonggi,2,2,1,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,Yes,Not at all,No,No,No,Neither easy nor difficult,Neither willing nor unwilling,Always,Always,Always,Frequently,Not at all,Frequently,Not at all,Always,Sometimes,Sometimes,Always,Frequently,Frequently,Always,Frequently,Sometimes,Sometimes,Rarely,Frequently,Sometimes,5,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,3,.837582179841,35,3,3,Full time employment
719,2020-04-06 02:21:08,week 1,Male,North Gyeongsang Province,Gyeongsang,6,0,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Somewhat willing,Always,Frequently,Frequently,Frequently,Always,Always,Sometimes,Always, ,Always,Always,Always,Always,Always,Always,Frequently,Rarely,Rarely,Sometimes,Not at all,4, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,6,1.08025254687,71,6,2,Retired
720,2020-04-06 02:36:50,week 1,Female,Daegu metropolitan city,Gyeongsang,1,2,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Very willing,Always,Frequently,Always,Always,Always,Frequently,Frequently,Sometimes,Always, ,Always,Always,Always,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Frequently,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,.955013100049,51,2,0,Part time employment
721,2020-04-06 04:59:24,week 1,Male,Gyeonggi Province,Gyeonggi,2,20,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Somewhat difficult,Very willing,Always,Always,Frequently,Always,Always,Frequently,Not at all,Not at all,Rarely, ,Always,Always,Always,Always,Frequently,Rarely,Not at all,Not at all,Frequently,Frequently,8,No,No,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,3,1.28751352192,60,3,0,Full time employment
722,2020-04-06 05:25:38,week 1,Female,Ulsan metropolitan city,Gyeongsang,1,4,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Very difficult,Somewhat unwilling,Always,Frequently,Frequently,Not at all,Not at all,Frequently,Frequently,Frequently,Rarely, ,Always,Frequently,Not at all,Not at all,Frequently,Frequently,Rarely,Not at all,Sometimes,Frequently,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,.955013100049,50,2,0,Full time employment
723,2020-04-06 05:38:12,week 1,Female,Busan metropolitan city,Gyeongsang,1,3,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,1.43728140487,58,2,0,Not working
724,2020-04-06 06:08:18,week 1,Male,Ulsan metropolitan city,Gyeongsang,2,10,3,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,No,Frequently,No,No,Yes,Somewhat difficult,Somewhat willing,Always,Always,Frequently,Always,Always,Sometimes,Frequently,Rarely,Sometimes, ,Always,Always,Always,Sometimes,Always,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,6,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,2,1.08025254687,71,2,0,Part time employment
725,2020-04-06 06:25:47,week 1,Male,North Gyeongsang Province,Gyeongsang,30,20,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Somewhat difficult,Very willing,Always,Frequently,Always,Frequently,Frequently,Rarely,Sometimes,Always,Not at all, ,Always,Rarely,Sometimes,Not at all,Rarely,Sometimes,Not at all,Not at all,Sometimes,Not at all,2,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,2,1.08025254687,58,2,0,Part time employment
