RecordNo,endtime,qweek,gender,age,state,household_size,household_children,employment_status,i1_health,i2_health,i7a_health,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i5a_health,i6_health,i7b_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,weight
302,2020-04-02 16:19:40,week 1,Female,76,Michigan,2,0,Retired,1,0,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Not at all,Always,Always, , ,Always,Always,Always,Always,Always,Not at all,Not at all,Not at all,Always,Always,12, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,.976095143934
303,2020-04-02 16:21:02,week 1,Female,26,Michigan,Prefer not to say,3,Retired,0,0,0,"Yes, and I tested negative",Not sure,No,No,No,No,No,Yes, , , , ,Not sure,Not sure,Not sure,Always,Frequently,Always,Sometimes,Always,Rarely,Rarely,Frequently, ,Sometimes,Frequently,Rarely,Sometimes,Frequently,Sometimes,Rarely,Sometimes,Rarely,Always,Not at all,12, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,.812731256242
304,2020-04-02 16:21:22,week 1,Female,76,Ohio,1,0,Retired,0,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Very willing,Not at all,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,20, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,.976095143934
305,2020-04-02 16:22:27,week 1,Female,55,Massachusetts,3,0,Part time employment,2,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Sometimes,Always,Always,Frequently,Always,Always,Always, ,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Sometimes,Always,15,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,.838612452771
306,2020-04-02 16:23:11,week 1,Female,51,Pennsylvania,3,0,Full time employment,2,20,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very difficult,Very willing,Not at all,Always,Always,Always,Always,Sometimes,Always,Always,Rarely, ,Always,Sometimes,Frequently,Always,Always,Sometimes,Not at all,Not at all,Always,Always,10,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,.838612452771
307,2020-04-02 16:24:14,week 1,Female,66,Florida,2,0,Full time employment,2,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Always,Always,Frequently,Frequently,Always,Always,Always, ,Always,Frequently,Always,Always,Frequently,Frequently,Not at all,Frequently,Always,Frequently,20,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,1.004
308,2020-04-02 16:25:14,week 1,Female,24,Ohio,Don't know,2,Full time student,6,6,0,"No, I have not",Not sure,No,No,No,No,No,Yes, , , , ,Not sure,Not sure,Not sure,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Sometimes,Always,Always,Always,20, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.826643416202
309,2020-04-02 16:25:58,week 1,Female,60,Virginia,2,0,Not working,1,6,0,"No, I have not","No, they have not",No,Yes,No,No,No,No,Not sure,Frequently,Yes,Not sure,Not sure,Somewhat difficult,Somewhat willing,Not at all,Always,Frequently,Frequently,Sometimes,Frequently,Always,Always, , ,Always,Always,Always,Always,Frequently,Sometimes,Rarely,Rarely,Sometimes,Not at all,10, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,1.00503863225
310,2020-04-02 16:26:20,week 1,Female,48,Wisconsin,2,0,Not working,1,2,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Not at all,Always,Frequently,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,10, , , , , , , , , , , , , ,__NA__,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,.877796079286
311,2020-04-02 16:27:03,week 1,Male,66,New Jersey,3,3,Retired,3,1,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Not at all,Always,Always, ,Not at all,Not at all,Always,Always,Always,Not at all,Always,Not at all,Not at all,Always,Always,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.878039972403
312,2020-04-02 16:29:00,week 1,Female,69,New York,1,0,Retired,0,3,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Sometimes,Frequently,Always,Always,Always,Frequently,Always,Always, , ,Always,Frequently,Always,Always,Always,Frequently,Always,Always,Frequently,Always,3, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,.407164953227
313,2020-04-02 16:31:23,week 1,Female,18,Ohio,3,0,Other,3,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Sometimes,Always,Always, , ,Always,Always,Always,Always,Always,Frequently,Not at all,Always,Always,Always,8, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,.826643416202
314,2020-04-02 16:32:07,week 1,Female,61,Arkansas,1,1,Full time employment,0,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Frequently,Rarely,Always,Always,Always,Always,Always,Always,Not at all,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Sometimes,Frequently,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.899537734157
315,2020-04-02 16:32:21,week 1,Female,27,Texas,4,0,Unemployed,0,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently, , ,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Rarely,Frequently,Frequently,Frequently,12, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.921432817837
316,2020-04-02 16:32:24,week 1,Female,57,California,Prefer not to say,5 or more,Unemployed,0,0,1, , , , , , , , , , , , ,No,Neither easy nor difficult,Neither willing nor unwilling,Not at all,Always,Frequently,Always,Always,Sometimes,Not at all,Always, ,Frequently,Frequently,Frequently,Always,Always,Always,Always,Not at all,Not at all,Frequently,Frequently,6, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,.950089467987
317,2020-04-02 16:33:36,week 1,Male,70,Pennsylvania,4,0,Retired,2,3,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Sometimes,Always,Always,Frequently,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Frequently,Frequently,Frequently,7, , , , , , , , , , , , , ,__NA__,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,.502
318,2020-04-02 16:34:05,week 1,Female,26,Virginia,3,1,Full time employment,0,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Neither willing nor unwilling,Sometimes,Always,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Frequently,Rarely,Frequently,Sometimes,Sometimes,Frequently,Frequently,Frequently,Frequently,Sometimes,2,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.812767259115
319,2020-04-02 16:34:27,week 1,Female,38,California,4,2,Unemployed,2,6,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very difficult,Very willing,Always,Always,Frequently,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,7, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.907067738541
320,2020-04-02 16:35:55,week 1,Female,21,Michigan,3,1,Full time student,2,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Not at all,Always,Frequently,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Frequently,Always,30, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,.797581313915
321,2020-04-02 16:36:19,week 1,Male,34,California,3,0,Unemployed,2,150,2,"No, I have not","No, they have not",Yes,Yes,No,No,No,No,Not sure,Frequently,No,No,Yes,Neither easy nor difficult,Somewhat willing,Sometimes,Frequently,Frequently,Always,Always,Frequently,Always,Always, , ,Frequently,Frequently,Frequently,Always,Always,Sometimes,Not at all,Frequently,Frequently,Frequently,20, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.995126946104
322,2020-04-02 16:36:55,week 1,Female,63,Pennsylvania,2,0,Not working,0,1,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Always,Always,Always, , ,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,15, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,.936967823046
323,2020-04-02 16:37:03,week 1,Female,18,Pennsylvania,5,0,Full time student,4,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Always,Sometimes,Always, , ,Always,Always,Always,Always,Always,Always,Not at all,Rarely,Always,Always,12, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.761978365739
324,2020-04-02 16:37:09,week 1,Male,86,Pennsylvania,2,0,Retired,1,2,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Not at all,Always,Frequently,Frequently,Always,Always, , ,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Frequently,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,.502
325,2020-04-02 16:37:20,week 1,Male,40,Nevada,1,0,Unemployed,0,3,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Frequently,Frequently,Always,Frequently,Always,Always,Always, , ,Always,Frequently,Always,Always,Frequently,Frequently,Always,Always,Sometimes,Sometimes,7, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,.995126946104
326,2020-04-02 16:38:56,week 1,Female,70,Florida,2,0,Retired,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Always,Always,Always, , ,Frequently,Always,Always,Always,Always,Always,Not at all,Frequently,Frequently,Always,10, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,1.7145393242
327,2020-04-02 16:39:01,week 1,Female,29,Illinois,3,2,Full time employment,0,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Not sure,Not at all,Always,Not at all,Frequently,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,10,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.19891216825
328,2020-04-02 16:39:01,week 1,Female,27,Ohio,5,3,Not working,5,4,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very difficult,Somewhat unwilling,Not at all,Frequently,Rarely,Rarely,Sometimes,Rarely,Not at all,Always, ,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Sometimes,Not at all,Sometimes,Rarely,Not at all,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.797581313915
329,2020-04-02 16:40:39,week 1,Female,55,Pennsylvania,2,0,Other,1,0,3,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Not at all,Always,Not at all,Always,Always,Sometimes,Not at all,Not at all, , ,Not at all,Always,Always,Always,Always,Sometimes,Always,Frequently,Always,Frequently,10, , , , , , , , , , , , , ,__NA__,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,.936967823046
330,2020-04-02 16:41:01,week 1,Female,33,Utah,5,3,Not working,5,0,1,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,Always,No,No,Yes,Somewhat easy,Very willing,Not at all,Always,Frequently,Frequently,Always,Frequently,Always,Always, ,Always,Always,Sometimes,Always,Always,Always,Frequently,Not at all,Not at all,Frequently,Frequently,25, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.12029530954
331,2020-04-02 16:41:12,week 1,Male,22,Michigan,2,0,Full time employment,1,100,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very difficult,Very willing,Not at all,Always,Frequently,Always,Always,Frequently,Always,Always,Not at all, ,Always,Not at all,Not at all,Not at all,Sometimes,Always,Not at all,Not at all,Not at all,Frequently,15,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__, , , , , , , , , , , , , , , ,.781804614724
332,2020-04-02 16:41:14,week 1,Female,20,Virginia,4,0,Full time student,0,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Neither willing nor unwilling,Sometimes,Frequently,Frequently,Frequently,Frequently,Sometimes,Always,Frequently, , ,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.817336172779
333,2020-04-02 16:41:54,week 1,Female,27,Florida,2,0,Unemployed,1,10,5,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Somewhat willing,Not at all,Always,Sometimes,Not at all,Always,Rarely,Frequently,Always, , ,Rarely,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Not at all,Not at all,Sometimes,Always,8, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.22860737331
334,2020-04-02 16:42:49,week 1,Female,29,Indiana,6,4,Unemployed,8,0,0,"Yes, and I have not received my results from the test yet","Yes, and they tested negative",No,No,No,Yes,No,No,No,Frequently,No,No,No,Somewhat easy,Somewhat willing,Sometimes,Sometimes,Rarely,Frequently,Sometimes,Sometimes,Frequently,Sometimes, ,Frequently,Sometimes,Frequently,Frequently,Frequently,Rarely,Not at all,Frequently,Sometimes,Sometimes,Frequently,0, , , , , , , , , , , , , ,__NA__,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,.793122830019
335,2020-04-02 16:43:08,week 1,Female,34,Virginia,2,0,Full time employment,1,2,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Sometimes,Rarely,Not at all,Always,Frequently,Not at all,Not at all,Always, ,Sometimes,Sometimes,Sometimes,Always,Always,Frequently,Not at all,Not at all,Not at all,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,1.06068737554
336,2020-04-02 16:43:24,week 1,Male,28,Pennsylvania,1,0,Unemployed,2,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Neither willing nor unwilling,Not at all,Sometimes,Not at all,Frequently,Sometimes,Not at all,Sometimes,Always, , ,Not at all,Not at all,Not at all,Not at all,Sometimes,Not at all,Not at all,Not at all,Sometimes,Not at all,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.746905917004
337,2020-04-02 16:44:37,week 1,Female,20,California,2,0,Unemployed,1,6,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Very easy,Very willing,Not at all,Sometimes,Frequently,Always,Always,Sometimes,Always,Always, , ,Not at all,Always,Always,Always,Always,Rarely,Not at all,Not at all,Sometimes,Sometimes,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.2976519843
338,2020-04-02 16:45:03,week 1,Female,31,Florida,5,5 or more,Full time employment,4,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Sometimes,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Not at all,Always,Always,Always,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,1.06068737554
339,2020-04-02 16:45:14,week 1,Male,55,Colorado,2,0,Unemployed,1,1,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Sometimes,Always,Always,Always,Always,Sometimes,Always,Always, , ,Always,Always,Always,Always,Frequently,Sometimes,Always,Sometimes,Always,Always,3, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,1.17651959834
340,2020-04-02 16:45:23,week 1,Female,20,Illinois,4,0,Full time student,3,0,0,"No, I have not","No, they have not",No,Yes,No,No,No,No,No,Always,No,No,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Not at all,Frequently,Frequently,Always,7, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.797581313915
341,2020-04-02 16:46:06,week 1,Male,40,California,2,0,Unemployed,1,2,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Not sure,Very unwilling,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all, , ,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,1, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,.995126946104
342,2020-04-02 16:46:49,week 1,Female,55,Arkansas,1,0,Unemployed,0,3,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Not sure,Somewhat willing,Rarely,Always,Always,Always,Frequently,Sometimes,Always,Not at all, , ,Rarely,Not at all,Frequently,Always,Frequently,Sometimes,Not at all,Not at all,Frequently,Frequently,5, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,.84436193883
343,2020-04-02 16:46:49,week 1,Female,62,South Carolina,2,0,Full time employment,2,0,0, ,"No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,15,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,.84436193883
344,2020-04-02 16:48:05,week 1,Male,18,New Jersey,Prefer not to say,1,Part time employment,5,2,2,"Yes, and I tested negative","Yes, and they tested negative",No,No,Yes,No,No,No,Yes,Frequently,No,No,Not sure,Somewhat easy,Neither willing nor unwilling,Sometimes,Frequently,Always,Always,Always,Frequently,Always,Sometimes,Not at all,Frequently,Always,Sometimes,Frequently,Sometimes,Always,Frequently,Always,Sometimes,Frequently,Sometimes,2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.55869573049
345,2020-04-02 16:50:16,week 1,Male,23,Maryland,2,0,Full time student,1,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Somewhat willing,Not at all,Always,Always,Always,Always,Frequently,Always,Always, , ,Always,Always,Always,Always,Always,Sometimes,Always,Always,Frequently,Frequently,7, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.801168709086
346,2020-04-02 16:50:43,week 1,Female,33,Florida,3,2,Not working,2,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Not at all,Always,Always,Frequently,Frequently,Always, ,Always,Sometimes,Not at all,Not at all,Always,Frequently,Frequently,Not at all,Not at all,Sometimes,Sometimes,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,.858805076519
347,2020-04-02 16:51:06,week 1,Female,24,Kansas,4,0,Full time employment,4,10,0,"No, I have not","No, they have not",Yes,No,Yes,No,Yes,No,Not sure,Not at all,No,Not sure,Not sure,Somewhat difficult,Very willing,Sometimes,Always,Always,Always,Always,Frequently,Always,Always,Not at all, ,Always,Rarely,Frequently,Always,Frequently,Sometimes,Not at all,Not at all,Not at all,Frequently,15,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.797581313915
348,2020-04-02 16:52:01,week 1,Female,19,North Carolina,3,0,Full time student,3,30,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Frequently,Always,Not at all,Always,Always,7, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.817336172779
349,2020-04-02 16:53:41,week 1,Female,19,Tennessee,3,1,Unemployed,2,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Rarely,Always,Rarely,Sometimes,Not at all,Not at all, ,Not at all,Not at all,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Not at all,Not at all,Rarely,Frequently,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.812767259115
350,2020-04-02 16:53:40,week 1,Male,49,Texas,4,4,Full time employment,0,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Not sure,Not sure,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,20,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.11392011947
351,2020-04-02 16:56:04,week 1,Male,23,Connecticut,3,1,Other,3,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Frequently,Always,Not at all,Frequently,Always,Always, ,Not at all,Always,Frequently,Always,Always,Frequently,Sometimes,Not at all,Always,Always,Frequently,100, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,.772839760356
352,2020-04-02 16:56:56,week 1,Male,29,Oklahoma,1,0,Part time employment,0,4,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Very easy,Very willing,Not at all,Frequently,Sometimes,Always,Always,Not at all,Always,Not at all,Not at all, ,Always,Always,Frequently,Always,Sometimes,Not at all,Not at all,Not at all,Rarely,Not at all,4,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,1.17936154251
353,2020-04-02 16:57:11,week 1,Female,27,New York,4,2,Full time employment,4,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Very willing,Not at all,Frequently,Always,Always,Frequently,Frequently,Always,Always,Not at all,Always,Frequently,Frequently,Always,Always,Always,Frequently,Not at all,Always,Sometimes,Frequently,10,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Housekeeping,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.761978365739
354,2020-04-02 16:57:26,week 1,Female,66,Iowa,2,0,Retired,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Frequently,Always,Always, , ,Always,Always,Always,Always,Always,Rarely,Always,Not at all,Always,Frequently,30, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,.976095143934
355,2020-04-02 16:57:33,week 1,Male,28,Pennsylvania,3,0,Full time student,2,0,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Neither willing nor unwilling,Always,Always,Always,Sometimes,Frequently,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Not at all,Sometimes,Always,Always,30, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,.746905917004
356,2020-04-02 16:59:41,week 1,Female,64,Indiana,1,0,Not working,0,3,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Frequently,Always,Always,Frequently,Always,Always, , ,Sometimes,Frequently,Always,Always,Always,Always,Not at all,Always,Always,Sometimes,10, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,.93460445742
357,2020-04-02 16:59:59,week 1,Male,59,Florida,2,0,Other,1,1,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Rarely,Frequently,Sometimes,Always,Always,Frequently,Always,Always, , ,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Sometimes,Frequently,Frequently,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,.875202337279
358,2020-04-02 17:00:30,week 1,Male,37,Arizona,2,0,Full time employment,1,6,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Sometimes,Always,Always,Always,Always,Frequently,Always,Always,Sometimes, ,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Always,Frequently,20,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.01806366045
